time,x,y,yaw,v,a,phi
2.399999999999999467e+00,-2.910306893761779978e+00,5.327199346143099978e-01,-1.557046196424818785e+00,1.084306555039507680e+00,3.946335174529733147e-02,-1.702131565156606019e-01
2.449999999999999289e+00,-2.909561449427358948e+00,4.785097319214737244e-01,-1.567399894403532112e+00,1.086279722626772637e+00,3.866147710173760410e-02,-1.225165752359357180e-01
2.499999999999999112e+00,-2.909376976000232151e+00,4.241960590661978392e-01,-1.574830849275766775e+00,1.088212796481859534e+00,3.269274095641677702e-02,-1.191544816738870360e-01
2.549999999999998934e+00,-2.909596496354263984e+00,3.697858620726072187e-01,-1.582068771002668184e+00,1.089847433529680387e+00,3.243607795638557556e-02,-5.288240829529810422e-02
2.599999999999998757e+00,-2.910210745564973944e+00,3.152969524777619603e-01,-1.585273634465790504e+00,1.091469237427499683e+00,2.684736156750621577e-02,-4.089497877053547420e-02
2.649999999999998579e+00,-2.911000794764420530e+00,2.607292095989431902e-01,-1.587754773954960008e+00,1.092811605505874972e+00,2.970727892759508770e-02,2.348793114001811524e-03
2.699999999999998401e+00,-2.911927369744206295e+00,2.060964861483622623e-01,-1.587612174338621118e+00,1.094296969452254631e+00,2.454978735413567911e-02,1.170467742545115014e-02
2.749999999999998224e+00,-2.912847402933020025e+00,1.513893734269577962e-01,-1.586900564450759443e+00,1.095524458819961522e+00,2.462174827813218281e-02,6.769273960469661400e-02
2.799999999999998046e+00,-2.913729494116126251e+00,9.662025334249221831e-02,-1.582774312611366918e+00,1.096755546233868062e+00,2.526485416119122682e-02,1.417071188925430603e-01
2.849999999999997868e+00,-2.914386324528564831e+00,4.178640983051349483e-02,-1.574081712323541993e+00,1.098018788941927726e+00,2.025840609081251686e-02,1.521795689160507503e-01
2.899999999999997691e+00,-2.914566694956053805e+00,-1.311423332312024875e-02,-1.564726268294805100e+00,1.099031709246468314e+00,2.087203996016250701e-02,2.182060811189204252e-01
2.949999999999997513e+00,-2.914233137665987350e+00,-6.806480642620332810e-02,-1.551187629438947946e+00,1.100075311244476328e+00,1.632637658503619665e-02,2.162215949137372972e-01
2.999999999999997335e+00,-2.913154654589713122e+00,-1.230579978254871809e-01,-1.537763324531851605e+00,1.100891630073728145e+00,1.674477157648708928e-02,3.055128508647360075e-01
3.049999999999997158e+00,-2.911336697465939150e+00,-1.780725503076449889e-01,-1.518474051897711785e+00,1.101728868652552595e+00,1.252361599526244026e-02,2.892600030854164395e-01
3.099999999999996980e+00,-2.908455764333078619e+00,-2.330836080537024846e-01,-1.500258368500251072e+00,1.102355049452315772e+00,1.388471265164050068e-02,3.860783288388834333e-01
3.149999999999996803e+00,-2.904571093908849821e+00,-2.880642953295783903e-01,-1.475364866187212742e+00,1.103049285084897857e+00,9.642508216883394212e-03,3.656160281946109203e-01
3.199999999999996625e+00,-2.899315798977657455e+00,-3.429658088651991177e-01,-1.451904956385444700e+00,1.103531410495742104e+00,1.129369940444956838e-02,4.674139850545049879e-01
3.249999999999996447e+00,-2.892771224456540669e+00,-3.977528737547728066e-01,-1.420962127212255233e+00,1.104096095465964655e+00,6.993738354269489824e-03,4.311248271037078084e-01
3.299999999999996270e+00,-2.884530571842575331e+00,-4.523391551316345294e-01,-1.392747372130425099e+00,1.104445782383678187e+00,8.638503540037922868e-03,5.300529683356396404e-01
3.349999999999996092e+00,-2.874750168217278468e+00,-5.066884414239954948e-01,-1.356792252147837718e+00,1.104877707560680156e+00,1.003909090763936522e-02,6.224249953912220912e-01
3.399999999999995914e+00,-2.863017785233991308e+00,-5.606721247106594141e-01,-1.312745915873263725e+00,1.105379662106062089e+00,5.753491504059064787e-03,5.565829499932566371e-01
3.449999999999995737e+00,-2.848913361756753027e+00,-6.141111154558915874e-01,-1.274536655190388501e+00,1.105667336681265045e+00,7.653025211531623746e-03,6.133892084524187327e-01
3.499999999999995559e+00,-2.832773666102210708e+00,-6.669860705167551806e-01,-1.231294272563887571e+00,1.106049987941841728e+00,3.514387659749350096e-03,5.444321545502516235e-01
3.549999999999995381e+00,-2.814356959919369405e+00,-7.191319368240691734e-01,-1.194089798155765880e+00,1.106225707324829166e+00,5.687072980415736057e-03,5.835379117781898106e-01
3.599999999999995204e+00,-2.794010154196793660e+00,-7.705648619377895026e-01,-1.153513638142482867e+00,1.106510060973849852e+00,7.804025789247083511e-03,6.007403444421443028e-01
3.649999999999995026e+00,-2.771587955828855865e+00,-8.211430816369815755e-01,-1.111390999807083224e+00,1.106900262263312174e+00,3.774154295322331744e-03,5.336206673614336538e-01
3.699999999999994849e+00,-2.747047137416176898e+00,-8.707497213955097681e-01,-1.075060626159587862e+00,1.107088969978078374e+00,6.064210069054026819e-03,5.379751060605907353e-01
