time,x,y,yaw,v,a,phi
1.200000000000000400e+00,-1.148880579219567100e+00,3.557910476992304005e+00,-3.177191676879383975e-01,3.536830627298747087e-01,7.670934386517064274e-02,-1.152033329576764367e-02
1.250000000000000444e+00,-1.132081510485146048e+00,3.552385935218441038e+00,-3.179455414117509648e-01,3.575185299231332658e-01,7.011253963650410093e-02,-1.204883557848785217e-02
1.300000000000000488e+00,-1.115101531175052951e+00,3.546797639348964637e+00,-3.181848686590019182e-01,3.610241569049584820e-01,6.408134197812201394e-02,-1.228421687518170546e-02
1.350000000000000533e+00,-1.097956406710081323e+00,3.541150444314881796e+00,-3.184312643330253212e-01,3.642282240038645647e-01,5.859417393874453289e-02,-1.242801279739921133e-02
1.400000000000000577e+00,-1.080660524642674813e+00,3.535448868970041403e+00,-3.186827568940227007e-01,3.671579327008017701e-01,5.358561863948225340e-02,-1.254717174630488527e-02
1.450000000000000622e+00,-1.063226967285872071e+00,3.529697047801934495e+00,-3.189387033054864040e-01,3.698372136327758852e-01,4.915271722786451747e-02,-1.478689506549274793e-02
1.500000000000000666e+00,-1.045667674588217411e+00,3.523898759138265557e+00,-3.192425445659637928e-01,3.722948494941691333e-01,4.491402508069664012e-02,-1.506050401283767944e-02
1.550000000000000711e+00,-1.027993471464586195e+00,3.518056569365214603e+00,-3.195540652344974752e-01,3.745405507482039709e-01,4.099489601983279108e-02,-1.496843480573462233e-02
1.600000000000000755e+00,-1.010214488462628957e+00,3.512173600403623919e+00,-3.198655488210069286e-01,3.765902955491955972e-01,3.743517120695037670e-02,-1.492693280097275033e-02
1.650000000000000799e+00,-9.923400499195333957e-01,3.506252867887821978e+00,-3.201778685751945353e-01,3.784620541095430890e-01,3.418113549188303568e-02,-1.480358796009887887e-02
1.700000000000000844e+00,-9.743786296717121820e-01,3.500297097687151471e+00,-3.204891466644191889e-01,3.801711108841372422e-01,3.140373435089409415e-02,-1.722789061589323836e-02
1.750000000000000888e+00,-9.563379624919704503e-01,3.494308816499115622e+00,-3.208530463510574360e-01,3.817412976016819615e-01,2.873867195895712240e-02,-1.774888481415678315e-02
1.800000000000000933e+00,-9.382249728923595100e-01,3.488289210739522694e+00,-3.212295015670015297e-01,3.831782311996297929e-01,2.623560151219414549e-02,-1.773297799554982013e-02
1.850000000000000977e+00,-9.200460791138922456e-01,3.482240102280055538e+00,-3.216070350930541610e-01,3.844900112752395183e-01,2.386892405103149817e-02,-1.744131804084143866e-02
1.900000000000001021e+00,-9.018072442036254577e-01,3.476163398976280128e+00,-3.219796291287015944e-01,3.856834574777910918e-01,2.173284065440087703e-02,-1.722214264685955828e-02
1.950000000000001066e+00,-8.835140689028895267e-01,3.470061017404581616e+00,-3.223486820345694004e-01,3.867700995105111117e-01,2.003900907866461301e-02,-1.992384518813110697e-02
2.000000000000000888e+00,-8.651716132779911916e-01,3.463934672953192795e+00,-3.227768468900111265e-01,3.877720499644443652e-01,1.819841770900182398e-02,-1.999929788030547356e-02
