-4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
-3.880690747881285318e+00,1.987143003504977967e+00,-1.073476893560144640e-01
-3.762745260840174133e+00,1.965032777666351871e+00,-1.853106583376454286e-01
-3.646880074980217490e+00,1.933803645343507904e+00,-2.632736273192763932e-01
-3.533799088270690003e+00,1.893645328087929514e+00,-3.412365963009073577e-01
-3.416723867314920948e+00,1.867312978436638460e+00,-2.212365963009073622e-01
-3.297338273205674408e+00,1.855185327419966335e+00,-1.012365963009073805e-01
-3.177359396505034184e+00,1.857436803747309240e+00,1.876340369909260120e-02
-3.058512860797397259e+00,1.874035025046394409e+00,1.387634036990925690e-01
-2.942508003514324066e+00,1.904741263610142399e+00,2.587634036990925646e-01
-2.829212598981953430e+00,1.944290616472692967e+00,3.358565041385264127e-01
-2.719299667573136237e+00,1.992448144535506227e+00,4.129496045779602609e-01
-2.613422136406877261e+00,2.048927772669355551e+00,4.900427050173941090e-01
-2.512208960698051552e+00,2.113393989115913030e+00,5.671358054568279572e-01
-2.416261387509892611e+00,2.185463838562841321e+00,6.442289058962618054e-01
-2.320749023505175757e+00,2.258109473822163427e+00,6.502435749181038060e-01
-2.225675323952016171e+00,2.331328266855615894e+00,6.562582439399458067e-01
-2.131043728249345293e+00,2.405117568890303037e+00,6.622729129617878074e-01
-2.036857659802486342e+00,2.479474710514518065e+00,6.682875819836298081e-01
-1.943120525899307838e+00,2.554397001774313392e+00,6.743022510054718088e-01
-1.859026602721895571e+00,2.640001978759483059e+00,7.943022510054718044e-01
-1.785785390318340715e+00,2.735058408345584002e+00,9.143022510054717999e-01
-1.724450297146440159e+00,2.838199119733446185e+00,1.034302251005471796e+00
-1.675903489186066020e+00,2.947940668095306638e+00,1.154302251005471680e+00
-1.640843201985569433e+00,3.062704670558704212e+00,1.274302251005471565e+00
-1.603391170741822025e+00,3.176710571088972479e+00,1.253393408748164628e+00
-1.563563768125532105e+00,3.289908530438246714e+00,1.232484566490857691e+00
-1.521378405233682951e+00,3.402249062561265358e+00,1.211575724233550755e+00
-1.476853523978032046e+00,3.513683056248874781e+00,1.190666881976243818e+00
-1.430008589022975896e+00,3.624161796597670016e+00,1.169758039718936882e+00
-1.370274879187929784e+00,3.728238133530435316e+00,1.049758039718936997e+00
-1.298511528191340414e+00,3.824415165371412240e+00,9.297580397189370016e-01
-1.238777818356294302e+00,3.928491502304177541e+00,1.049758039718936997e+00
-1.191932883401238152e+00,4.038970242652973219e+00,1.169758039718936882e+00
-1.158650481297499368e+00,4.154262400713290226e+00,1.289758039718936766e+00
-1.139409303791450112e+00,4.272709760701517645e+00,1.409758039718936651e+00
-1.134486091511183181e+00,4.392608726422008836e+00,1.529758039718936535e+00
-1.143951653681250624e+00,4.512234823628281433e+00,1.649758039718936420e+00
-1.140327306520488193e+00,4.632180078255792033e+00,1.540588839981821501e+00
-1.123656201805137034e+00,4.751016412209552620e+00,1.431419640244706581e+00
-1.094136827083013630e+00,4.867328950295585877e+00,1.322250440507591662e+00
-1.052120642464393185e+00,4.979732865841682177e+00,1.213081240770476743e+00
-1.023862732367337047e+00,5.096358294102189213e+00,1.333081240770476628e+00
-1.009769522634878403e+00,5.215527843230466587e+00,1.453081240770476512e+00
-1.010043712073364963e+00,5.335527529980690353e+00,1.573081240770476397e+00
-9.959505023409062074e-01,5.454697079108967728e+00,1.453081240770476512e+00
-9.676925922438500693e-01,5.571322507369474764e+00,1.333081240770476628e+00
-9.256764076252297357e-01,5.683726422915571064e+00,1.213081240770476743e+00
-8.705062558522925764e-01,5.790292150770970814e+00,1.093081240770476859e+00
-8.029756342278319137e-01,5.889486985026661792e+00,9.730812407704768630e-01
-7.240558173340803094e-01,5.979884233333547350e+00,8.530812407704768674e-01
-6.348818874542960788e-01,6.060183736630861517e+00,7.330812407704768718e-01
-5.367364089926938142e-01,6.129230568980674754e+00,6.130812407704768763e-01
-4.310309816991014231e-01,6.186031648553857565e+00,4.930812407704768807e-01
-3.192859380133006297e-01,6.229770020856201462e+00,3.730812407704768852e-01
-2.060794970776451129e-01,6.269573308794284650e+00,3.380987372524963952e-01
-9.155018403908601887e-02,6.305392807044759351e+00,3.031162337345159052e-01
2.416185722197768115e-02,6.337184685051537869e+00,2.681337302165354153e-01
1.409150355788642561e-01,6.364910040659086832e+00,2.331512266985549253e-01
2.585664859166983964e-01,6.388534947715076129e+00,1.981687231805744354e-01
3.779931041118279045e-01,6.400251724851933055e+00,9.779562089646968992e-02
4.979927055074303555e-01,6.399942427427881775e+00,-2.577481387635055521e-03
6.173573376235410581e-01,6.387610168924852339e+00,-1.029505836717398010e-01
7.348854397740592903e-01,6.363379089607220429e+00,-2.033236859558445464e-01
8.493939383420132661e-01,6.327493106888157470e+00,-3.036967882399492780e-01
9.632814064904413609e-01,6.289682465545530121e+00,-3.205500899452855545e-01
1.076515497097106699e+00,6.249957904824466226e+00,-3.374033916506218311e-01
1.189064048616671920e+00,6.208330707574978291e+00,-3.542566933559581077e-01
1.300895094215447800e+00,6.164812697047329593e+00,-3.711099950612943843e-01
1.411976870850839116e+00,6.119416233533912397e+00,-3.879632967666306609e-01
1.523773360500994212e+00,6.075809526459165610e+00,-3.719032474874641170e-01
1.636255728655648500e+00,6.034003822849241416e+00,-3.558431982082975731e-01
1.749394963903000644e+00,5.994009905216127088e+00,-3.397831489291310292e-01
1.863161885412326191e+00,5.955838088776626016e+00,-3.237230996499644853e-01
1.977527150460286265e+00,5.919498218791858335e+00,-3.076630503707979414e-01
2.094231093885424055e+00,5.891566344722576787e+00,-2.349204458706884990e-01
2.212656450605022140e+00,5.872190202541120563e+00,-1.621778413705790567e-01
2.332176850717035510e+00,5.861472275639699525e+00,-8.943523687046960047e-02
2.452160132466717268e+00,5.859469252779988757e+00,-1.669263237036014424e-02
2.571971685847238120e+00,5.866191728257561522e+00,5.604997212974931198e-02
2.691971656276413327e+00,5.866107484581032594e+00,-7.020306954067037641e-04
2.811773652794233413e+00,5.859216793008760860e+00,-5.745403352056271951e-02
2.930991921901926922e+00,5.845541841053978338e+00,-1.142060363457187422e-01
3.049242589659471037e+00,5.825126661042650866e+00,-1.709580391708747649e-01
3.166144897731066443e+00,5.798036988332672337e+00,-2.277100419960307875e-01
3.281592010363335810e+00,5.765296124189036142e+00,-2.763443573069293002e-01
3.395310914709711803e+00,5.726981495204015005e+00,-3.249786726178278684e-01
3.507032684843193415e+00,5.683183708978664761e+00,-3.736129879287264366e-01
3.616493117720567252e+00,5.634006339851209688e+00,-4.222473032396250048e-01
3.723433357977805169e+00,5.579565683961293487e+00,-4.708816185505235730e-01
3.826966067099109026e+00,5.518894618847818734e+00,-5.300682299124307439e-01
3.926728670175663627e+00,5.452205616550664935e+00,-5.892548412743379149e-01
4.022371795332428945e+00,5.379732224121116957e+00,-6.484414526362450859e-01
4.113560497239791225e+00,5.301728245732510558e+00,-7.076280639981522569e-01
4.199975430102980134e+00,5.218466853849774267e+00,-7.668146753600594279e-01
4.285759453638817718e+00,5.134555583414851299e+00,-7.743626359329098818e-01
4.370907680608098644e+00,5.049999214973509787e+00,-7.819105965057603358e-01
4.455415259993860566e+00,4.964802565823680069e+00,-7.894585570786107898e-01
4.539277377277755932e+00,4.878970489741004890e+00,-7.970065176514612437e-01
4.622489254714342799e+00,4.792507876702313929e+00,-8.045544782243116977e-01
4.702955047506404362e+00,4.703483968731786646e+00,-8.358487396255507296e-01
4.780595959455927080e+00,4.611985942569216235e+00,-8.671430010267897615e-01
4.855335960631933290e+00,4.518103397736799920e+00,-8.984372624280287933e-01
4.927101861822859696e+00,4.421928268798730244e+00,-9.297315238292678252e-01
4.995823386207155714e+00,4.323554735334192323e+00,-9.610257852305068571e-01
5.055413997840334517e+00,4.219396399109079709e+00,-1.051132433110507858e+00
5.105390195422314648e+00,4.110298371284343943e+00,-1.141239080990508858e+00
5.145346486278297604e+00,3.997145842275787953e+00,-1.231345728870509859e+00
5.174958676411178793e+00,3.880856899570412466e+00,-1.321452376750510860e+00
5.193986500919573146e+00,3.762375078625265878e+00,-1.411559024630511860e+00
5.227061209721973079e+00,3.647023166471039080e+00,-1.291559024630511976e+00
5.273707098268327620e+00,3.536460238318239746e+00,-1.171559024630512091e+00
5.333253271417722985e+00,3.432276490721687168e+00,-1.051559024630512207e+00
5.404843292740907579e+00,3.335970370215532554e+00,-9.315590246305122113e-01
5.487447502412751810e+00,3.248927021563898343e+00,-8.115590246305122157e-01
5.559037523735936404e+00,3.152620901057743730e+00,-9.315590246305122113e-01
5.618583696885331769e+00,3.048437153461191151e+00,-1.051559024630512207e+00
5.665229585431686310e+00,2.937874225308391818e+00,-1.171559024630512091e+00
5.698304294234086242e+00,2.822522313154165019e+00,-1.291559024630511976e+00
5.717332118742480596e+00,2.704040492209018431e+00,-1.411559024630511860e+00
5.731254688266639086e+00,2.584850886714894269e+00,-1.454513031208052087e+00
5.759345586283097340e+00,2.468185118605182637e+00,-1.334513031208052203e+00
5.801200789038198025e+00,2.355721159923614749e+00,-1.214513031208052318e+00
5.856218304523096663e+00,2.249076549230579758e+00,-1.094513031208052434e+00
5.923606830761258379e+00,2.149785126985510608e+00,-9.745130312080524382e-01
6.002397136889783269e+00,2.059274974736311048e+00,-8.545130312080524426e-01
6.069785663127944986e+00,1.959983552491242120e+00,-9.745130312080524382e-01
6.124803178612843624e+00,1.853338941798207351e+00,-1.094513031208052434e+00
6.166658381367944308e+00,1.740874983116639463e+00,-1.214513031208052318e+00
6.194749279384402563e+00,1.624209215006928053e+00,-1.334513031208052203e+00
6.208671848908561053e+00,1.505019609512803891e+00,-1.454513031208052087e+00
6.208225845405825005e+00,1.385020438345351490e+00,-1.574513031208051972e+00
