time,x,y,yaw,v,a,phi
5.999999999999999778e-01,-3.235486081756045795e+00,1.691377696370754302e+00,-5.005639516649891263e-01,1.207774661579527065e+00,1.375358394020310016e+00,3.674138506566312912e-02
6.500000000000000222e-01,-3.182506318570604176e+00,1.662395912855960667e+00,-4.980975465234209754e-01,1.276542581280542654e+00,1.243334124617608172e+00,4.610211192965835147e-02
7.000000000000000666e-01,-3.126434628776218361e+00,1.631902175660298049e+00,-4.948257110386458657e-01,1.338709287511423041e+00,1.136669483314822759e+00,5.133361717150776438e-02
7.500000000000001110e-01,-3.067527973669281760e+00,1.600115977786287003e+00,-4.910045323310735510e-01,1.395542761677164290e+00,1.040791450515812011e+00,5.146202016932481527e-02
8.000000000000001554e-01,-3.005994330780047630e+00,1.567215221078362308e+00,-4.870111481100580231e-01,1.447582334202954790e+00,9.528275855055374777e-01,4.687697678145961999e-02
8.500000000000001998e-01,-2.942030332515368940e+00,1.533342762328850917e+00,-4.832384796499703539e-01,1.495223713478231575e+00,8.697300845113421497e-01,4.357799644769624892e-02
9.000000000000002442e-01,-2.875829690488775015e+00,1.498605032428411921e+00,-4.796162501226498565e-01,1.538710217703798788e+00,7.938637819615246283e-01,4.230903715331657544e-02
9.500000000000002887e-01,-2.807574654412181570e+00,1.463104005889055204e+00,-4.759973489786166190e-01,1.578403406801875075e+00,7.237334970385427280e-01,4.249663876696514742e-02
1.000000000000000222e+00,-2.737427553783495782e+00,1.426940798621191719e+00,-4.722686129754197770e-01,1.614590081653802134e+00,6.598080651653639439e-01,4.344938076082338618e-02
1.050000000000000266e+00,-2.665534816572136201e+00,1.390216322236967450e+00,-4.683687730511357783e-01,1.647580484912070320e+00,6.015548662885952247e-01,4.518890996797501891e-02
1.100000000000000311e+00,-2.592027530332453811e+00,1.353027849488881218e+00,-4.642297127287307590e-01,1.677658228226500015e+00,5.484832526497300798e-01,4.760156801033284257e-02
1.150000000000000355e+00,-2.517022223009815374e+00,1.315470603846039532e+00,-4.597897385708788476e-01,1.705082390858986496e+00,5.001171614446304758e-01,4.892323460396322959e-02
1.200000000000000400e+00,-2.440622099897996833e+00,1.277638262026605798e+00,-4.551516961871029943e-01,1.730088248931217931e+00,4.560782032812620845e-01,5.094227386511269995e-02
1.250000000000000444e+00,-2.362924325121459113e+00,1.239611045884753349e+00,-4.502510879397529919e-01,1.752892159095281066e+00,4.159811476986875478e-01,5.344006330095767837e-02
1.300000000000000488e+00,-2.284014566410180080e+00,1.201468847682866548e+00,-4.450419799828147505e-01,1.773691216480215438e+00,3.795027631529408474e-01,5.600040166494899690e-02
1.350000000000000533e+00,-2.203968538609493599e+00,1.163290519250634203e+00,-4.395180142761740960e-01,1.792666354637862502e+00,3.462961144028040561e-01,5.845678917334830305e-02
1.400000000000000577e+00,-2.122854253304006011e+00,1.125151243339750584e+00,-4.336895115423536340e-01,1.809981160358002716e+00,3.160603485323163486e-01,6.091846586928748725e-02
1.450000000000000622e+00,-2.040733460800462140e+00,1.087121584641345784e+00,-4.275562963368780278e-01,1.825784177784618434e+00,2.885604498923035610e-01,6.300310214955137655e-02
1.500000000000000666e+00,-1.957661947347352882e+00,1.049268667815405953e+00,-4.211572680664661950e-01,1.840212200279233601e+00,2.635405754730844041e-01,6.491979336171825599e-02
1.550000000000000711e+00,-1.873691551917760156e+00,1.011653178365723438e+00,-4.145109173737618335e-01,1.853389229052887721e+00,2.407799067464368170e-01,6.627539865257553453e-02
1.600000000000000755e+00,-1.788869951687559690e+00,9.743312649593720565e-01,-4.076767910825048191e-01,1.865428224390209611e+00,2.200480652914653390e-01,6.565061401625643667e-02
1.650000000000000799e+00,-1.703242654961445668e+00,9.373512405372997902e-01,-4.008633046453169979e-01,1.876430627654782857e+00,2.012144977048597738e-01,6.583941092369818837e-02
1.700000000000000844e+00,-1.616858875753364844e+00,9.007408261619906931e-01,-3.939898652055497386e-01,1.886491352540025757e+00,1.841034237113314820e-01,6.605015831881100308e-02
1.750000000000000888e+00,-1.529761003594977575e+00,8.645319222362712885e-01,-3.870573892058917775e-01,1.895696523725592275e+00,1.685381663918885109e-01,6.615604150930880223e-02
1.800000000000000933e+00,-1.441987998629200574e+00,8.287539559100399744e-01,-3.800798859417466313e-01,1.904123432045186748e+00,1.544113609827242883e-01,6.585212514365793024e-02
1.850000000000000977e+00,-1.353576215341256495e+00,7.934329750770499068e-01,-3.731036558492885069e-01,1.911844000094322871e+00,1.415832126189421891e-01,6.490264623436323155e-02
1.900000000000001021e+00,-1.264560708304905745e+00,7.585889195036373822e-01,-3.662004193468753055e-01,1.918923160725269916e+00,1.299024024806916533e-01,6.316985438550674903e-02
1.950000000000001066e+00,-1.174976298714278666e+00,7.242334424989674835e-01,-3.594571086867330845e-01,1.925418280849304553e+00,1.192911258749068254e-01,6.074348679358211600e-02
2.000000000000000888e+00,-1.084858257840821905e+00,6.903685993766124351e-01,-3.529515153389196080e-01,1.931382837143049924e+00,1.096394403132651962e-01,5.772480352279153737e-02
2.050000000000000711e+00,-9.942419706132881174e-01,6.569876519945513360e-01,-3.467508101980002477e-01,1.936864809158713285e+00,1.008281923401073837e-01,5.418937259357687469e-02
2.100000000000000533e+00,-9.031626565649853999e-01,6.240760769048628864e-01,-3.409141243593639126e-01,1.941906218775718562e+00,9.276120972021392741e-02,5.039121292258665064e-02
2.150000000000000355e+00,-8.116552367944813717e-01,5.916123812858440356e-01,-3.354731287557104480e-01,1.946544279261729349e+00,8.537239650547340242e-02,4.647101448425751402e-02
2.200000000000000178e+00,-7.197535620697450565e-01,5.595707090353950752e-01,-3.304440698690132572e-01,1.950812899087003061e+00,7.859142863629661746e-02,4.266318637767019251e-02
2.250000000000000000e+00,-6.274900267047509583e-01,5.279223684775856684e-01,-3.258174906038399654e-01,1.954742470518817887e+00,7.240770836436982716e-02,3.919951241720080748e-02
2.299999999999999822e+00,-5.348949140538232783e-01,4.966383401518242868e-01,-3.215583670911094094e-01,1.958362855937036295e+00,5.079122623716485208e-02,3.470428914655845909e-02
2.349999999999999645e+00,-4.419956581504775883e-01,4.656917580887053876e-01,-3.177810954914089825e-01,1.960902417248894469e+00,6.287099236338056230e-02,3.400048455749651866e-02
2.399999999999999467e+00,-3.488595512016777755e-01,4.350566261752776276e-01,-3.140756879482584640e-01,1.964045966867063564e+00,4.101192972189557362e-02,3.239053396152075104e-02
2.449999999999999289e+00,-2.554610795181954663e-01,4.047182529969626796e-01,-3.105402015809533012e-01,1.966096563353158411e+00,3.720025759251802122e-02,3.143991079171599978e-02
2.499999999999999112e+00,-1.618583051943909834e-01,3.746789474131166919e-01,-3.071049640455923435e-01,1.967956576232784416e+00,3.404970625223354558e-02,3.170115586053937756e-02
2.549999999999998934e+00,-6.806424182133083423e-02,3.449332520805978297e-01,-3.036378859751671655e-01,1.969659061545396161e+00,3.118330848377273701e-02,3.256615083536340549e-02
2.599999999999998757e+00,2.591361852648041419e-02,3.154874746028843990e-01,-3.000730582054727535e-01,1.971218226969584819e+00,2.860510928528144439e-02,3.397888445173240235e-02
2.649999999999998579e+00,1.200703253404513948e-01,2.863538547146745605e-01,-2.963505256624742179e-01,1.972648482433848827e+00,2.628058252785146764e-02,3.581361811200084455e-02
2.699999999999998401e+00,2.144032258090054766e-01,2.575500532761267891e-01,-2.924239756891230391e-01,1.973962511560241495e+00,2.413907730257229545e-02,3.768421424661508312e-02
